ohara_label,column,printed,value,source,table,printed_column,page,archive_item,pdf_page_index,note
E1,total,100.30,100.30,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Qz,...,,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Or,4.45,4.45,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Ab,24.10,24.10,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Ne,...,,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_An,23.35,23.35,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Di,21.37,21.37,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Hy,7.45,7.45,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Ol,6.97,6.97,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Il,8.13,8.13,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Mt,3.94,3.94,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Ap,0.34,0.34,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_Rest,0.27,0.27,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E1,n_total,100.37,100.37,Carnegie Institution of Washington Year Book 63,1,E1,93,yearbookcarne63196364carn,190,
E2,SiO2,47.70,47.70,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,Al2O3,13.67,13.67,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,Fe2O3,2.09,2.09,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,FeO,12.97,12.97,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,MnO,0.10,0.10,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,MgO,5.14,5.14,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,CaO,9.72,9.72,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,Na2O,3.36,3.36,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
